OverNumber,Bowlers_Name,Bowler_Type,Batsman_Name,Runs,Delivery_Length,Delivery_Line,Shot_Field_Position
5,Neesham,Medium,BabarAzam,1,GoodLength,Middle,LongOn
5,Neesham,Medium,BabarAzam,2,ShortLength,OutsideOff,ThirdMan
5,Neesham,Medium,BabarAzam,1,ShortLength,OutsideOff,DeepCover
4,Sodhi,Spin,BabarAzam,2,FullLength,Middle,DeepSquareLeg
3,Neesham,Medium,BabarAzam,4,GoodLength,OutsideOff,ThirdMan
2,Tickner,Fast,BabarAzam,1,FullLength,OutsideOff,ThirdMan
7,Boult,Fast,BabarAzam,4,GoodLength,OutsideOff,DeepCover
16,Ngarava,Fast,BabarAzam,0,GoodLength,OutsideOff,LongOff
14,Shakib,Spin,Babar Azam,1,FullLength,OutsideOff,DeepCover
10,Saifuddin,Fast,Babar Azam,0,FullLength,OutsideOff,DeepExtraCover
10,Saifuddin,Fast,Babar Azam,4,FullLength,OutsideOff,DeepCover
4,Hasan Mahmud,Fast,Babar Azam,1,ShortLength,Off,DeepPoint
4,Hasan Mahmud,Fast,Babar Azam,0,ShortLength,OutsideOff,ThirdMan
14,Bhuvneshwar,Medium,Babar Azam,4,ShortLength,Leg,DeepMidWicket
4,Dhananjaya,Spin,Babar Azam,1,GoodLength,OutsideOff,LongOff
6,Jordan,Fast,Babar Azam,1,ShortLength,Off,ThirdMan
5,Jordan,Fast,Babar Azam,4,GoodLength,Middle,DeepCover
3,Woakes,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepMidWicket
3,Woakes,Fast,Babar Azam,0,ShortLength,Off,DeepMidWicket
2,Woakes,Fast,Babar Azam,3,ShortLength,Off,LongOn
1,Woakes,Fast,Babar Azam,1,ShortLength,Middle,LongOn
5,Ngidi,Fast,Babar Azam,1,fulltoss,Middle,LongOff
7,Magala,Fast,Babar Azam,1,GoodLength,Middle,LongOn
6,Magala,Fast,Babar Azam,2,GoodLength,Middle,DeepMidWicket
6,Hendricks,Fast,Babar Azam,1,ShortLength,OutsideOff,DeepCover
3,Magala,Fast,Babar Azam,1,ShortLength,Middle,LongOff
3,Williams,Fast,Babar Azam,1,FullLength,Middle,DeepMidWicket
12,Linde,Spin,Babar Azam,1,ShortLength,Middle,LongOn
12,Williams,Fast,Babar Azam,0,ShortLength,OutsideOff,DeepBackwardPoint
